DATE,MATCH UP,MIN,PTS,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PLAYER,IMPACT
"Jan 10, 2026",@,12.8,8,4-9,0-2,0-1,7,3,4,0,1,1,0,3,Temi Fagbenle,16.5
"Jan 05, 2026",@,9.3,4,1-1,0-0,1-2,9,4,5,1,0,0,4,3,Temi Fagbenle,11.0
"Jan 12, 2026",@,7.3,3,1-4,1-4,0-0,4,0,4,3,0,0,0,3,Rachel Banham,7.0
"Jan 10, 2026",@,8.7,5,2-5,1-4,0-0,2,0,2,0,0,0,1,4,Rachel Banham,6.0
"Jan 05, 2026",@,8.0,6,2-3,2-3,0-1,1,0,1,0,0,0,2,1,Rachel Banham,5.0
"Jan 11, 2026",@,5.7,3,1-4,1-2,0-1,0,0,0,2,0,0,1,1,Natisha Hiedeman,2.0
"Jan 09, 2026",@,7.2,0,0-4,0-0,0-0,3,1,2,1,0,0,0,3,Natisha Hiedeman,3.5
"Jan 05, 2026",@,10.6,9,4-7,1-3,0-0,4,0,4,1,1,0,1,2,Natisha Hiedeman,12.0
"Jan 12, 2026",@,15.9,3,1-5,1-3,0-0,6,1,5,3,1,2,3,5,Rebecca Allen,6.5
"Jan 10, 2026",@,8.2,2,1-4,0-2,0-0,0,0,0,2,0,0,0,2,Rebecca Allen,2.0
"Jan 05, 2026",@,14.2,6,2-5,2-3,0-0,4,0,4,1,0,1,2,3,Rebecca Allen,8.0
"Jan 05, 2026",@,6.4,2,0-4,0-1,1-3,1,1,0,0,0,0,0,2,Aari Mcdonald,3.5
"Jan 11, 2026",@,2.3,2,1-1,0-0,0-0,1,0,1,0,0,0,1,1,Brittney Griner,2.0
"Jan 05, 2026",@,2.4,2,1-2,0-1,0-1,1,0,1,0,0,0,0,0,Brittney Griner,3.0
